Sport,Age,Height,Weight,Sex
Swimming,27.0,179.0,68.0,F
Swimming,19.0,180.0,60.0,F
Diving,,,,M
Weightlifting,34.0,,95.5,M
Badminton,30.0,162.0,57.0,F
Basketball,22.0,188.0,85.0,F
Sailing,,,,M
Football,22.0,170.0,65.0,M
Swimming,20.0,170.0,65.0,F
Hockey,24.0,,,M
Sailing,,,,M
Athletics,23.0,180.0,73.0,M
Synchronized Swimming,22.0,169.0,54.0,F
Synchronized Swimming,22.0,169.0,54.0,F
Boxing,19.0,171.0,60.0,M
Hockey,21.0,,,M
Swimming,25.0,182.0,73.0,M
Swimming,25.0,182.0,73.0,M
Swimming,25.0,182.0,73.0,M
Athletics,27.0,165.0,55.0,M
Tennis,26.0,180.0,84.0,M
Athletics,20.0,165.0,53.0,F
Swimming,23.0,182.0,79.0,M
Athletics,24.0,185.0,88.0,M
Swimming,27.0,177.0,75.0,M
Swimming,27.0,177.0,75.0,M
Swimming,27.0,177.0,75.0,M
Equestrianism,20.0,168.0,58.0,F
Handball,28.0,181.0,69.0,F
Football,28.0,170.0,62.0,F
Rowing,21.0,,,M
Football,22.0,,,M
Tug-Of-War,27.0,,,M
Athletics,20.0,162.0,57.0,F
Athletics,28.0,182.0,70.0,M
Athletics,28.0,182.0,70.0,M
Handball,28.0,172.0,65.0,F
Boxing,21.0,175.0,64.0,M
Sailing,,,,M
Sailing,29.0,174.0,79.0,M
Shooting,29.0,,,M
Handball,24.0,187.0,86.0,M
Boxing,23.0,164.0,52.0,M
Athletics,25.0,171.0,79.0,M
Shooting,27.0,159.0,73.0,F
Swimming,34.0,180.0,64.0,F
Sailing,32.0,180.0,81.0,M
Handball,27.0,172.0,60.0,F
Judo,23.0,175.0,110.0,F
Rowing,27.0,,,M
Football,25.0,157.0,56.0,F
Weightlifting,,,67.0,M
Equestrianism,,,,M
Equestrianism,,,,M
Boxing,21.0,173.0,60.0,M
Archery,21.0,174.0,90.0,M
Archery,21.0,174.0,90.0,M
Weightlifting,32.0,155.0,56.0,M
Judo,26.0,176.0,70.0,F
Volleyball,25.0,194.0,88.0,M
Boxing,33.0,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Rhythmic Gymnastics,18.0,174.0,,F
Football,,,,M
Athletics,21.0,183.0,70.0,M
Swimming,,,,M
Rowing,,,,M
Cycling,25.0,183.0,73.0,M
Canoeing,24.0,,,F
Canoeing,24.0,,,F
Athletics,18.0,165.0,58.0,M
Judo,28.0,162.0,57.0,F
Hockey,34.0,183.0,78.0,M
Athletics,24.0,191.0,63.0,F
Athletics,21.0,180.0,87.0,M
Synchronized Swimming,25.0,165.0,55.0,F
Synchronized Swimming,25.0,165.0,55.0,F
Boxing,26.0,,,M
Equestrianism,32.0,177.0,72.0,M
Shooting,,,,M
Boxing,21.0,172.0,,M
Sailing,28.0,,,M
Shooting,18.0,,,F
Shooting,19.0,160.0,55.0,F
Athletics,32.0,168.0,54.0,F
Cycling,,,,M
Basketball,21.0,211.0,98.0,M
Basketball,24.0,210.0,102.0,M
Boxing,,,,M
Shooting,31.0,,,M
Shooting,31.0,,,M
Shooting,31.0,,,M
Shooting,31.0,,,M
Football,28.0,,,M
Handball,25.0,186.0,84.0,F
Handball,29.0,165.0,62.0,F
Gymnastics,21.0,,,M
Gymnastics,21.0,,,M
Gymnastics,21.0,,,M
Gymnastics,21.0,,,M
Gymnastics,21.0,,,M
Gymnastics,21.0,,,M
Gymnastics,21.0,,,M
Gymnastics,21.0,,,M
Athletics,18.0,179.0,60.0,M
Fencing,40.0,,,M
Fencing,40.0,,,M
Weightlifting,17.0,,80.0,F
Football,25.0,178.0,71.0,M
Wrestling,23.0,160.0,58.0,F
